external_id,front_text,back_text
0001,Albania,Tirana
0002,Andora,Andora
0003,Austria,Wiedeń
0004,Belgia,Bruksela
0005,Białoruś,Mińsk
0006,Bośnia i Hercegowina,Sarajewo
0007,Bułgaria,Sofia
0008,Chorwacja,Zagrzeb
0009,Czarnogóra,Podgorica
0010,Czechy,Praga
0011,Dania,Kopenhaga
0012,Estonia,Tallinn
0013,Finlandia,Helsinki
0014,Francja,Paryż
0015,Grecja,Ateny
0016,Hiszpania,Madryt
0017,Holandia,"Amsterdam, Haga"
0018,Irlandia,Dublin
0019,Islandia,Reykjavík
0020,Kosowo,Prisztina
0021,Liechtenstein,Vaduz
0022,Litwa,Wilno
0023,Luksemburg,Luksemburg
0024,Macedonia Północna,Skopje
0025,Malta,Valletta
0026,Monako,Monako
0027,Mołdawia,Kiszyniów
0028,Niemcy,Berlin
0029,Norwegia,Oslo
0030,Polska,Warszawa
0031,Portugalia,Lizbona
0032,Rumunia,Bukareszt
0033,San Marino,San Marino
0034,Serbia,Belgrad
0035,Szwajcaria,Berno
0036,Szwecja,Sztokholm
0037,Słowacja,Bratysława
0038,Słowenia,Lublana
0039,Ukraina,Kijów
0040,Watykan,Watykan
0041,Wielka Brytania,Londyn
0042,Węgry,Budapeszt
0043,Włochy,Rzym
0044,Łotwa,Ryga
0045,Rosja,Moskwa
0046,Afganistan,Kabul
0047,Arabia Saudyjska,Rijad
0048,Armenia,Erywań
0049,Azerbejdżan,Baku
0050,Bahrajn,Manama
0051,Bangladesz,Dhaka
0052,Bhutan,Thimphu
0053,Brunei,Bandar Seri Begawan
0054,Chiny,Pekin
0055,Cypr,Nikozja
0056,Filipiny,Manila
0057,Gruzja,Tbilisi
0058,Indie,Nowe Delhi
0059,Indonezja,Dżakarta
0060,Irak,Bagdad
0061,Iran,Teheran
0062,Izrael,Jerozolima
0063,Japonia,Tokio
0064,Jemen,Sana
0065,Jordania,Amman
0066,Kambodża,Phnom Penh
0067,Katar,Doha
0068,Kirgistan,Biszkek
0069,Korea Południowa,Seul
0070,Korea Północna,Pjongjang
0071,Kuwejt,Kuwejt
0072,Laos,Wientian
